Time_[s],Count_Rate_Channel_1_[kCounts/s]
1.21941,616.00000
1.22041,672.00000
1.22141,623.00000
1.22241,606.00000
1.22341,669.00000
1.22442,565.00000
1.22542,615.00000
1.22642,663.00000
1.22742,639.00000
1.22842,569.00000
1.22942,645.00000
1.23042,465.00000
1.23142,394.00000
1.23243,433.00000
1.23343,421.00000
1.23443,412.00000
1.23543,403.00000
1.23643,420.00000
1.23743,442.00000
1.23843,420.00000
1.23943,433.00000
1.24043,366.00000
1.24144,464.00000
1.24244,794.00000
1.24344,679.00000
1.24444,805.00000
1.24544,793.00000
1.24644,859.00000
1.24744,1196.00000
1.24844,1194.00000
1.24944,1176.00000
1.25045,1225.00000
1.25145,2228.00000
1.25245,7181.00000
1.25345,9563.00000
1.25445,6919.00000
1.25545,2878.00000
1.25645,2741.00000
1.25745,1773.00000
1.25846,5468.00000
1.25946,7460.00000
1.26046,3459.00000
1.26146,4150.00000
1.26246,1949.00000
1.26346,1455.00000
1.26446,1230.00000
1.26546,955.00000
1.26646,834.00000
1.26747,757.00000
1.26847,471.00000
1.26947,508.00000
1.27047,500.00000
1.27147,552.00000
1.27247,506.00000
1.27347,473.00000
1.27447,502.00000
1.27548,616.00000
1.27648,662.00000
1.27748,659.00000
1.27848,568.00000
1.27948,686.00000
1.28048,734.00000
1.28148,518.00000
1.28248,594.00000
1.28348,555.00000
1.28449,753.00000
1.28549,1325.00000
1.28649,1662.00000
1.28749,1335.00000
1.28849,1301.00000
1.28949,1477.00000
1.29049,1499.00000
1.29149,2175.00000
1.29249,1384.00000
1.29350,1490.00000
1.29450,1526.00000
1.29550,2375.00000
1.29650,4168.00000
1.29750,4748.00000
1.29850,3095.00000
1.29950,1407.00000
1.30050,1475.00000
1.30151,2805.00000
1.30251,5344.00000
1.30351,7262.00000
1.30451,5186.00000
1.30551,2377.00000
1.30651,1529.00000
1.30751,1484.00000
1.30851,1350.00000
1.30951,1245.00000
1.31052,1475.00000
1.31152,1823.00000
1.31252,1881.00000
1.31352,2660.00000
1.31452,5093.00000
1.31552,5261.00000
1.31652,3044.00000
1.31752,2746.00000
1.31852,4437.00000
1.31953,4131.00000
1.32053,6230.00000
1.32153,4819.00000
1.32253,1627.00000
1.32353,1688.00000
1.32453,1499.00000
1.32553,1156.00000
1.32653,865.00000
1.32754,808.00000
1.32854,976.00000
1.32954,1535.00000
1.33054,1344.00000
1.33154,1260.00000
1.33254,1121.00000
1.33354,1237.00000
1.33454,1220.00000
1.33554,1310.00000
1.33655,832.00000
1.33755,1044.00000
1.33855,4666.00000
1.33955,4489.00000
1.34055,783.00000
1.34155,941.00000
1.34255,883.00000
1.34355,982.00000
1.34455,953.00000
1.34556,1019.00000
1.34656,1231.00000
1.34756,952.00000
1.34856,1280.00000
1.34956,1099.00000
1.35056,1164.00000
1.35156,1526.00000
1.35256,3996.00000
1.35357,3797.00000
1.35457,1550.00000
1.35557,1486.00000
1.35657,3800.00000
1.35757,9511.00000
1.35857,9605.00000
1.35957,7873.00000
1.36057,4577.00000
1.36157,10273.00000
1.36258,9594.00000
1.36358,3705.00000
1.36458,1485.00000
1.36558,949.00000
1.36658,959.00000
1.36758,929.00000
1.36858,852.00000
1.36958,798.00000
1.37059,739.00000
1.37159,737.00000
1.37259,664.00000
1.37359,639.00000
1.37459,620.00000
1.37559,653.00000
1.37659,580.00000
1.37759,485.00000
